paper_id	title
000405273800008	INTIMATE PARTNER SUPPORT: A COMPARISON OF GAY, LESBIAN, AND HETEROSEXUAL RELATIONSHIPS
000397366500031	SOCIAL PROJECTION TO LIKED AND DISLIKED TARGETS: THE ROLE OF PERCEIVED SIMILARITY
000449485000011	EMPATHY IN TWENTIETH-CENTURY PSYCHOLOGY
000354818700007	EMPATHY-RELATED INTERVENTIONS
000302483400002	THE ROLE OF THE SELF IN PERSPECTIVE-TAKING AND EMPATHY: EASE OF SELF-SIMULATION AS A HEURISTIC FOR INFERRING EMPATHIC FEELINGS
000301796600006	THE VALIDATION OF THE INTERPERSONAL REACTIVITY INDEX FOR CHINESE TEACHERS FROM PRIMARY AND MIDDLE SCHOOLS
000288331600008	DISPOSITIONAL EMPATHY AND THE HIERARCHICAL STRUCTURE OF PERSONALITY
000281740800005	GENDER DIFFERENCES IN RESPONDING TO CONFLICT IN THE WORKPLACE: EVIDENCE FROM A LARGE SAMPLE OF WORKING ADULTS
000281477500003	EMPATHY AND SOCIAL SUPPORT PROVISION IN COUPLES: SOCIAL SUPPORT AND THE NEED TO STUDY THE UNDERLYING PROCESSES
000268845400004	AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE
000261678100006	SUPPORT PROVISION IN MARRIAGE: THE ROLE OF EMOTIONAL SIMILARITY AND EMPATHIC ACCURACY
000260478800002	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX
000228441200005	BECOMING (AND REMAINING) A COMMUNITY VOLUNTEER: DOES PERSONALITY MATTER?
000225045700009	COGNITIONS ASSOCIATED WITH ATTEMPTS TO EMPATHIZE: HOW DO WE IMAGINE THE PERSPECTIVE OF ANOTHER?
000222818800009	MEASURING CONFLICT-RELATED BEHAVIORS: RELIABILITY AND VALIDITY EVIDENCE REGARDING THE CONFLICT DYNAMICS PROFILE
000180436700010	THE FIRST YEAR: INFLUENCES ON THE SATISFACTION, INVOLVEMENT, AND PERSISTENCE OF NEW COMMUNITY VOLUNTEERS
000167517500006	DISPOSITIONAL EMPATHY IN SCIENTIST AND PRACTITIONER PSYCHOLOGISTS: GROUP DIFFERENCES AND RELATIONSHIP TO SELF-REPORTED PROFESSIONAL EFFECTIVENESS
000080484700004	EMPATHY, EXPECTATIONS, AND SITUATIONAL PREFERENCES: PERSONALITY INFLUENCES ON THE DECISION TO PARTICIPATE IN VOLUNTEER HELPING BEHAVIORS
000072070700014	RELATIONSHIP-SPECIFIC AND GLOBAL PERCEPTIONS OF SOCIAL SUPPORT: ASSOCIATIONS WITH WELL-BEING AND ATTACHMENT
A1996UE80100005	EFFECT OF PERSPECTIVE TAKING ON THE COGNITIVE REPRESENTATION OF PERSONS: A MERGING OF SELF AND OTHER
A1994PM27200005	THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY
A1994PG29900008	2 SOCIAL WORLDS - SOCIAL CORRELATES AND STABILITY OF ADOLESCENT STATUS GROUPS
A1993KU28600004	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS
A1992HZ19900003	DECLINES IN MAJOR-LEAGUE BATTING PERFORMANCE AS A FUNCTION OF GAME PRESSURE - A DRIVE THEORY ANALYSIS
A1992HA15900002	INTIMACY, PASSION AND COMMITMENT IN ADULT ROMANTIC RELATIONSHIPS - A TEST OF THE TRIANGULAR THEORY OF LOVE
A1992HC29000011	THE EFFECT OF DISPOSITIONAL EMPATHY ON ROMANTIC RELATIONSHIP BEHAVIORS - HETEROSOCIAL ANXIETY AS A MODERATING INFLUENCE
A1991EY04800005	STABILITY AND CHANGE IN ADOLESCENT SELF-CONSCIOUSNESS AND EMPATHY
